stock,entry_date,exit_date,entry_price,exit_price,shares,capital,pnl_rs,pnl_pct,exit_reason,trail_activated,mansfield_rs_at_entry,vol_ratio_at_entry,weeks_held
RELIANCE,2017-10-23,2018-01-29,418.11,406.64,95,40000,-1089.28,-2.74,Structure Break,True,41.29,1.04,14
TATASTEEL,2017-10-23,2018-01-15,68.49,70.96,583,40000,1439.5,3.6,Trailing Stop,True,50.62,0.91,12
HDFCBANK,2017-11-20,2018-02-05,462.85,462.38,86,40000,-40.85,-0.1,Structure Break,True,20.84,0.58,11
MM,2017-12-18,2018-02-05,746.2,750.05,53,40000,204.05,0.52,Trailing Stop,True,0.4,3.1,7
TCS,2018-01-22,2018-03-12,1560.52,1412.85,25,40000,-3691.88,-9.46,Structure Break,False,1.88,1.67,7
RELIANCE,2018-02-12,2018-03-26,414.26,396.91,96,40000,-1666.22,-4.19,Structure Break,False,48.6,0.85,6
HDFCBANK,2018-03-26,2018-06-04,471.52,512.34,84,40000,3428.25,8.66,Trailing Stop,True,19.01,0.86,10
TCS,2018-04-02,2018-05-28,1475.15,1732.45,27,40000,6947.1,17.44,Trailing Stop,True,3.56,0.43,8
MM,2018-04-02,2018-05-14,771.95,836.0,51,40000,3266.55,8.3,Trailing Stop,True,4.98,1.22,6
RELIANCE,2018-04-02,2018-04-30,409.63,428.94,97,40000,1873.31,4.71,Trailing Stop,True,24.19,0.8,4
TATASTEEL,2018-04-09,2018-07-16,59.4,50.32,673,40000,-6114.2,-15.29,Structure Break,False,11.07,0.92,14
MM,2018-05-28,2018-09-10,901.6,951.9,44,40000,2213.2,5.58,Trailing Stop,True,15.86,2.9,15
RELIANCE,2018-06-04,2018-06-25,442.61,437.26,90,40000,-481.57,-1.21,Trailing Stop,True,30.7,1.1,3
TCS,2018-06-11,2018-07-23,1840.05,1943.75,21,40000,2177.7,5.64,Trailing Stop,True,26.6,1.29,6
HDFCBANK,2018-06-18,2018-07-30,520.84,530.41,76,40000,727.7,1.84,Trailing Stop,True,13.72,1.1,6
RELIANCE,2018-07-09,2018-08-27,495.06,558.31,80,40000,5059.47,12.77,Trailing Stop,True,33.26,1.94,7
TCS,2018-08-06,2018-10-01,1993.1,2102.65,20,40000,2191.0,5.5,Trailing Stop,True,38.81,0.5,8
RELIANCE,2018-09-24,2018-10-01,565.64,471.62,70,40000,-6581.53,-16.62,Structure Break,False,39.96,1.3,1
MM,2018-10-29,2018-12-03,783.6,721.1,51,40000,-3187.5,-7.98,Structure Break,False,13.93,1.13,5
HDFCBANK,2018-11-12,2019-02-25,501.08,520.84,79,40000,1561.24,3.94,Trailing Stop,True,8.14,1.17,15
RELIANCE,2018-11-12,2018-12-03,506.94,509.81,78,40000,224.47,0.57,Trailing Stop,True,17.17,0.75,3
TCS,2018-11-26,2019-02-18,1968.25,1925.65,20,40000,-852.0,-2.16,Trailing Stop,True,37.91,1.84,12
MM,2018-12-17,2019-01-21,781.15,683.5,51,40000,-4980.15,-12.5,Structure Break,False,4.33,1.1,5
RELIANCE,2019-01-14,2019-02-11,532.54,559.57,75,40000,2026.8,5.07,Trailing Stop,True,24.15,1.56,4
RELIANCE,2019-03-05,2019-05-06,569.75,562.58,70,40000,-502.03,-1.26,Structure Break,True,30.27,0.77,9
HDFCBANK,2019-03-11,2019-05-06,563.25,574.12,71,40000,772.12,1.93,Trailing Stop,True,9.99,2.46,8
TCS,2019-03-11,2019-04-30,2039.95,2132.0,19,40000,1748.95,4.51,Trailing Stop,True,21.78,0.99,7
HDFCBANK,2019-05-13,2019-07-08,590.52,598.48,67,40000,532.65,1.35,Structure Break,True,15.11,0.79,8
RELIANCE,2019-05-20,2019-06-17,601.12,575.33,66,40000,-1701.97,-4.29,Structure Break,False,25.63,1.5,4
TCS,2019-05-27,2019-07-01,2196.55,2163.1,18,40000,-602.1,-1.52,Structure Break,False,15.18,1.57,5
TCS,2019-07-29,2019-09-09,2205.3,2141.95,18,40000,-1140.3,-2.87,Structure Break,False,11.73,0.94,6
HDFCBANK,2019-08-05,2019-09-30,570.5,594.85,70,40000,1704.5,4.27,Trailing Stop,True,3.31,1.94,8
RELIANCE,2019-08-13,2019-12-23,574.65,693.52,69,40000,8201.69,20.68,Trailing Stop,True,15.47,1.93,19
HDFCBANK,2019-10-22,2019-12-02,618.85,623.02,64,40000,267.2,0.67,Structure Break,True,11.76,0.79,6
TCS,2019-10-29,2019-11-18,2200.9,2071.7,18,40000,-2325.6,-5.87,Structure Break,False,1.05,1.43,3
TCS,2019-12-02,2020-01-27,2123.6,2164.85,18,40000,742.5,1.94,Trailing Stop,True,0.86,1.12,8
HDFCBANK,2019-12-16,2020-01-27,648.35,599.35,61,40000,-2989.0,-7.56,Structure Break,False,7.99,1.25,6
RELIANCE,2020-01-13,2020-01-27,710.9,622.02,56,40000,-4976.91,-12.5,Structure Break,False,23.49,1.07,2
HDFCBANK,2020-02-03,2020-02-24,621.1,588.83,64,40000,-2065.6,-5.2,Structure Break,False,5.14,1.23,3
RELIANCE,2020-02-10,2020-02-24,668.9,597.43,59,40000,-4216.84,-10.68,Structure Break,False,6.25,0.83,2
RELIANCE,2020-04-07,2020-05-11,548.55,662.46,72,40000,8201.8,20.77,Trailing Stop,True,14.32,0.86,5
HDFCBANK,2020-04-07,2020-05-04,462.52,464.52,86,40000,172.0,0.43,Trailing Stop,True,2.2,1.2,4
TCS,2020-04-13,2020-05-04,1806.2,1893.4,22,40000,1918.4,4.83,Trailing Stop,True,13.19,1.25,3
TCS,2020-05-18,2020-07-20,2020.35,2157.4,19,40000,2603.95,6.78,Trailing Stop,True,22.79,0.77,9
RELIANCE,2020-06-01,2020-07-27,717.98,938.32,55,40000,12118.56,30.69,Trailing Stop,True,41.7,0.65,8
TCS,2020-07-27,2020-10-19,2281.4,2686.8,17,40000,6891.8,17.77,Trailing Stop,True,12.93,1.63,12
RELIANCE,2020-09-07,2020-10-19,1053.0,959.18,37,40000,-3471.61,-8.91,Structure Break,False,73.38,1.3,6
MM,2020-09-14,2020-09-21,654.15,592.3,61,40000,-3772.85,-9.46,Structure Break,False,18.53,1.55,1
MM,2020-10-05,2020-12-07,633.2,727.55,63,40000,5944.05,14.9,Trailing Stop,True,5.32,1.02,9
TATASTEEL,2020-10-12,2020-10-26,39.39,41.05,1015,40000,1695.05,4.24,Trailing Stop,True,7.18,1.37,2
HDFCBANK,2020-11-02,2020-12-01,653.83,692.8,61,40000,2377.47,5.96,Trailing Stop,True,1.18,1.17,4
TATASTEEL,2020-11-02,2021-01-18,42.65,64.7,937,40000,20660.85,51.7,Trailing Stop,True,12.78,1.09,11
RELIANCE,2020-12-07,2021-01-25,910.49,836.12,43,40000,-3198.18,-8.17,Structure Break,False,15.44,0.81,7
TCS,2020-12-07,2021-01-25,2783.6,3111.35,14,40000,4588.5,11.77,Trailing Stop,True,18.46,0.63,7
MM,2020-12-28,2021-01-18,732.45,798.4,54,40000,3561.3,9.0,Trailing Stop,True,22.34,0.73,3
HDFCBANK,2021-02-01,2021-03-15,798.8,748.75,50,40000,-2502.5,-6.27,Structure Break,False,3.45,1.42,6
MM,2021-02-01,2021-02-15,865.5,879.25,46,40000,632.5,1.59,Trailing Stop,True,25.83,1.87,2
TATASTEEL,2021-02-01,2021-05-10,68.5,113.21,583,40000,26063.02,65.26,Trailing Stop,True,14.49,1.08,14
RELIANCE,2021-02-08,2021-03-15,926.74,945.08,43,40000,788.57,1.98,Trailing Stop,True,9.42,1.03,5
TCS,2021-04-05,2021-04-26,3322.25,3035.65,12,40000,-3439.2,-8.63,Structure Break,False,8.96,1.01,3
MM,2021-04-12,2021-06-14,821.65,781.55,48,40000,-1924.8,-4.88,Structure Break,False,65.29,1.09,9
RELIANCE,2021-04-26,2021-06-21,905.36,955.27,44,40000,2196.02,5.51,Trailing Stop,True,2.79,1.07,8
TATASTEEL,2021-06-07,2021-08-16,115.84,137.56,345,40000,7495.13,18.76,Trailing Stop,True,141.47,0.52,10
TCS,2021-06-21,2021-07-05,3380.8,3208.15,11,40000,-1899.15,-5.11,Structure Break,False,5.55,0.98,2
TCS,2021-08-02,2021-09-27,3309.8,3730.2,12,40000,5044.8,12.7,Structure Break,True,0.97,1.36,8
TATASTEEL,2021-08-30,2021-09-20,144.36,127.21,277,40000,-4751.94,-11.88,Structure Break,False,122.59,1.02,3
TCS,2021-10-04,2021-10-11,3935.65,3611.45,10,40000,-3242.0,-8.24,Structure Break,False,3.28,0.81,1
TATASTEEL,2021-10-11,2021-11-15,137.5,118.66,290,40000,-5465.05,-13.7,Structure Break,False,135.32,0.59,5
TCS,2021-11-29,2022-01-17,3640.45,3833.5,10,40000,1930.5,5.3,Trailing Stop,True,1.32,1.31,7
TATASTEEL,2021-12-06,2022-01-24,118.0,108.46,338,40000,-3222.83,-8.08,Structure Break,False,62.6,0.82,7
TATASTEEL,2022-01-31,2022-02-14,117.63,119.08,340,40000,493.0,1.23,Trailing Stop,True,37.31,1.41,2
RELIANCE,2022-02-14,2022-02-21,1100.51,1036.75,36,40000,-2295.16,-5.79,Structure Break,False,3.88,0.83,1
TATASTEEL,2022-02-28,2022-04-11,127.71,131.95,313,40000,1327.12,3.32,Trailing Stop,True,75.17,2.16,6
TCS,2022-03-07,2022-04-11,3599.15,3661.95,11,40000,690.8,1.74,Trailing Stop,True,5.55,0.86,5
RELIANCE,2022-03-21,2022-05-02,1178.33,1189.59,33,40000,371.49,0.96,Trailing Stop,True,3.76,1.17,6
RELIANCE,2022-05-16,2022-06-06,1191.32,1232.08,33,40000,1345.17,3.42,Trailing Stop,True,18.36,1.15,3
MM,2022-05-23,2022-06-13,952.85,997.65,41,40000,1836.8,4.7,Trailing Stop,True,12.55,1.11,3
TCS,2022-06-20,2022-07-11,3293.1,2994.6,12,40000,-3582.0,-9.06,Structure Break,False,4.56,1.23,3
MM,2022-06-20,2022-09-12,1072.05,1250.1,37,40000,6587.85,16.61,Trailing Stop,True,32.99,1.47,12
RELIANCE,2022-07-18,2022-08-29,1136.23,1148.67,35,40000,435.32,1.09,Structure Break,True,10.56,0.86,6
RELIANCE,2022-10-03,2022-12-05,1104.12,1184.35,36,40000,2888.35,7.27,Trailing Stop,True,3.34,0.74,9
MM,2022-10-24,2022-11-14,1311.65,1227.15,30,40000,-2535.0,-6.44,Structure Break,False,50.34,0.59,3
HDFCBANK,2022-12-12,2023-03-13,819.82,786.32,48,40000,-1608.0,-4.09,Structure Break,False,2.57,1.26,13
MM,2023-01-09,2023-02-13,1328.15,1341.5,30,40000,400.5,1.01,Trailing Stop,True,54.76,1.17,5
TATASTEEL,2023-01-16,2023-02-06,122.95,108.8,325,40000,-4598.75,-11.51,Structure Break,False,6.49,0.96,3
HDFCBANK,2023-03-27,2023-05-02,804.78,812.82,49,40000,394.45,1.0,Structure Break,True,10.39,1.67,5
MM,2023-04-03,2023-06-19,1171.25,1373.25,34,40000,6868.0,17.25,Trailing Stop,True,44.82,0.57,11
HDFCBANK,2023-06-19,2023-07-03,821.75,830.2,48,40000,405.6,1.03,Trailing Stop,True,5.79,0.95,2
MM,2023-06-26,2023-07-17,1453.6,1523.5,27,40000,1887.3,4.81,Trailing Stop,True,18.41,1.08,3
TATASTEEL,2023-07-10,2023-09-18,117.15,126.75,341,40000,3273.6,8.19,Trailing Stop,True,10.22,1.38,10
MM,2023-08-07,2023-09-25,1546.45,1554.25,25,40000,195.0,0.5,Trailing Stop,True,12.68,1.6,7
TCS,2023-10-03,2023-10-23,3621.4,3350.95,11,40000,-2974.95,-7.47,Structure Break,False,7.36,1.03,3
MM,2023-11-06,2023-12-18,1526.25,1634.25,26,40000,2808.0,7.08,Trailing Stop,True,9.32,1.26,6
TATASTEEL,2023-11-13,2023-12-18,125.2,133.55,319,40000,2663.65,6.67,Trailing Stop,True,11.08,0.71,5
TATASTEEL,2023-12-26,2024-03-11,139.6,141.7,286,40000,600.6,1.5,Trailing Stop,True,7.58,1.09,11
MM,2024-01-29,2024-03-04,1660.75,1897.55,24,40000,5683.2,14.26,Trailing Stop,True,2.74,1.45,5
RELIANCE,2024-01-29,2024-03-11,1457.7,1418.22,27,40000,-1065.82,-2.71,Structure Break,False,6.93,1.54,6
TCS,2024-02-05,2024-03-18,4133.7,3910.9,9,40000,-2005.2,-5.39,Structure Break,False,1.73,1.21,6
RELIANCE,2024-03-26,2024-04-29,1485.85,1434.0,26,40000,-1348.1,-3.49,Structure Break,False,9.91,0.85,5
TATASTEEL,2024-03-26,2024-05-06,155.85,162.25,256,40000,1638.4,4.11,Trailing Stop,True,12.44,0.59,6
MM,2024-03-26,2024-05-27,1921.35,2506.25,20,40000,11698.0,30.44,Trailing Stop,True,22.15,0.76,9
RELIANCE,2024-05-21,2024-07-15,1480.25,1555.15,27,40000,2022.3,5.06,Trailing Stop,True,5.11,0.81,8
TATASTEEL,2024-05-21,2024-06-24,174.85,174.01,228,40000,-191.52,-0.48,Trailing Stop,True,26.66,0.83,5
MM,2024-06-03,2024-07-08,2857.45,2703.95,13,40000,-1995.5,-5.37,Structure Break,False,77.19,1.62,5
TCS,2024-07-15,2024-09-02,4302.4,4456.75,9,40000,1389.15,3.59,Trailing Stop,True,1.92,1.29,7
MM,2024-07-22,2024-09-02,2887.8,2698.1,13,40000,-2466.1,-6.57,Structure Break,False,43.71,0.62,6
TATASTEEL,2024-08-19,2024-10-07,154.2,160.66,259,40000,1673.14,4.19,Trailing Stop,True,1.88,1.04,7
MM,2024-09-16,2024-09-30,2950.85,3017.45,13,40000,865.8,2.26,Trailing Stop,True,39.68,1.51,2
MM,2024-11-04,2024-12-16,2974.9,2906.35,13,40000,-891.15,-2.3,Trailing Stop,True,54.5,1.37,6
TCS,2024-11-18,2024-12-16,4244.6,4170.3,9,40000,-668.7,-1.75,Structure Break,True,1.89,0.97,4
MM,2024-12-30,2025-01-20,3190.55,2801.4,12,40000,-4669.8,-12.2,Structure Break,False,65.33,0.74,3
TCS,2025-01-06,2025-02-10,4265.65,3934.85,9,40000,-2977.2,-7.75,Structure Break,False,1.64,1.75,5
MM,2025-01-27,2025-02-10,3076.75,2942.6,13,40000,-1743.95,-4.36,Trailing Stop,True,76.6,1.04,2
HDFCBANK,2025-02-03,2025-06-09,866.38,958.8,46,40000,4251.55,10.67,Trailing Stop,True,7.28,0.81,18
TATASTEEL,2025-03-03,2025-04-01,151.56,140.39,263,40000,-2937.71,-7.37,Structure Break,True,4.09,2.02,4
MM,2025-03-17,2025-04-01,2801.85,2596.55,14,40000,-2874.2,-7.33,Structure Break,False,36.99,0.93,2
MM,2025-04-15,2025-05-19,2679.4,3012.7,14,40000,4666.2,12.44,Trailing Stop,True,30.54,0.54,5
MM,2025-06-02,2025-07-07,3106.5,3073.2,12,40000,-399.6,-1.07,Trailing Stop,True,11.67,0.96,5
HDFCBANK,2025-06-23,2025-08-18,1007.45,982.3,39,40000,-980.85,-2.5,Structure Break,False,16.34,1.28,8
MM,2025-08-11,2025-08-25,3265.4,3199.5,12,40000,-790.8,-2.02,Trailing Stop,True,14.01,0.79,2
TATASTEEL,2025-09-01,2025-11-10,167.68,174.26,238,40000,1566.04,3.92,Trailing Stop,True,11.24,1.42,10
MM,2025-09-01,2025-12-08,3561.3,3679.6,11,40000,1301.3,3.32,Trailing Stop,True,24.37,1.79,14
HDFCBANK,2025-10-06,2026-01-05,980.9,939.0,40,40000,-1676.0,-4.27,Structure Break,False,14.92,1.09,13
RELIANCE,2025-10-20,2026-01-05,1451.6,1475.3,27,40000,639.9,1.63,Structure Break,True,1.53,1.14,11
TATASTEEL,2025-12-08,2026-01-05,171.89,178.4,232,40000,1510.32,3.79,Trailing Stop,True,10.5,1.18,4
MM,2025-12-29,2026-01-19,3802.4,3543.4,10,40000,-2590.0,-6.81,Structure Break,False,16.09,0.81,3
TATASTEEL,2026-01-12,2026-03-02,188.21,198.46,212,40000,2173.0,5.45,Trailing Stop,True,25.57,1.06,7
MM,2026-02-02,2026-03-02,3578.0,3332.5,11,40000,-2700.5,-6.86,Structure Break,False,10.76,1.36,4
RELIANCE,2026-02-02,2026-04-27,1450.8,1430.8,27,40000,-540.0,-1.38,Open at End,False,0.6,1.29,12
MM,2026-04-06,2026-04-27,3259.8,3097.5,12,40000,-1947.6,-4.98,Open at End,False,12.96,0.96,3
TATASTEEL,2026-04-06,2026-04-27,206.61,211.36,193,40000,916.75,2.3,Open at End,False,27.54,0.98,3
